iter	Passed	Remaining
361	1799	3171
362	1803	3164
363	1807	3157
364	1811	3150
365	1815	3144
366	1819	3137
367	1822	3130
368	1826	3124
369	1831	3117
370	1835	3111
371	1839	3105
372	1843	3099
373	1848	3093
374	1852	3086
375	1856	3081
376	1860	3075
377	1864	3068
378	1868	3062
379	1873	3056
380	1876	3049
381	1880	3042
382	1884	3035
383	1888	3029
384	1892	3023
385	1896	3017
386	1901	3012
387	1905	3005
388	1910	3000
389	1914	2994
390	1918	2987
391	1921	2980
392	1925	2974
393	1929	2967
394	1933	2961
395	1937	2955
396	1941	2949
397	1945	2942
398	1950	2937
399	1953	2930
400	1957	2924
401	1961	2918
402	1965	2912
403	1969	2905
404	1973	2899
405	1977	2893
406	1981	2887
407	1985	2881
408	1990	2875
409	1994	2869
410	1998	2863
411	2002	2857
412	2006	2851
413	2010	2846
414	2014	2839
415	2018	2833
416	2021	2826
417	2025	2820
418	2029	2814
419	2034	2808
